query_id,intent_type,priority,pattern_regex,description,example_queries,required_entities,target_attributes,source_identifier_types,query_function,parameter_mapping,result_limit,enabled
Q013,orphan_molecules,13,"^(?:有哪些|查找|列出)?(?:孤儿|孤立|无反应|无关联)(?:分子|化合物|化学物质)?[?？]?$",孤儿分子查询：列出无反应关系的分子,"有哪些孤儿分子?;列出孤立的化合物;查找无反应的分子",Molecule,-,-,query_orphan_molecules,"{""top_n"":""20""}",20,TRUE
Q014,multi_value_stats,14,"^(?:统计|查看|分析)(?:多值|多个|重复)(?:属性|值|数据)[?？]?$",多值属性统计,"统计多值属性;查看重复数据",Molecule,-,-,query_multi_value_stats,"{}",-,TRUE
Q015,compound_by_cas,15,"^(?:查|查询)?\\s*(\\d{1,7}-\\d{2}-\\d{1})(?:\\s*是)?(?:\\s*什么|啥)?(?:\\s*化合物|物质|分子)?[?？]?$",CAS直接查询化合物,"58-08-2是什么化合物?;查一下123-45-6;CAS 58-08-2",Molecule,-,CAS,query_by_identifier,"{""identifier"":""$1"",""id_type"":""CAS""}",10,TRUE
Q016,compound_by_cid,16,"^(?:查|查询)?\\s*(?:pubchem|cid)?\\s*[#:]?\\s*(\\d{3,})(?:\\s*是)?(?:\\s*什么)?(?:\\s*化合物|物质|分子)?[?？]?$",PubChemID直接查询,"查一下PubChem 2519;CID 2519是什么?;2519",Molecule,-,PubChemID,query_by_identifier,"{""identifier"":""$1"",""id_type"":""PubChemID""}",10,TRUE
Q017,stats_summary,17,"^(?:统计|汇总|概况|总结|stats|summary|信息)[?？]?$",图谱统计信息,"统计信息;数据概况;summary",All,-,-,show_stats,"{}",-,TRUE
Q018,help_info,18,"^(?:帮助|help|用法|说明|怎么用|不会用|命令|\\?)[?？]?$",帮助信息,"帮助;help;怎么用",-,-,-,show_help,"{}",-,TRUE
Q019,property_list,19,"^(?:列出|显示|查看)(?:所有|全部)?(?:属性|数据|信息)(?:关于|对于)?(.+?)[?？]?$",列出分子所有属性,"列出咖啡因的所有属性;显示这个分子的数据",Molecule,-,"InChI;SMILES;CAS;PubChemID;compound_name",query_all_properties,"{""identifier"":""$1""}",-,TRUE
Q020,cross_inchi_to_smiles,20,"^(?:InChI=1S/[^\\s]+)(?:\\s*对应的)?\\s*(?:SMILES|smiles)(?:是什么)?[?？]?$",InChI转SMILES查询,"InChI=1S/C8H10N4O2...对应的SMILES;这个InChI的SMILES是什么",Molecule,-,InChI,query_cross_property,"{""source_value"":""$1"",""source_type"":""InChI"",""target_attr"":""SMILES""}",10,TRUE
Q021,cross_smiles_to_inchi,21,"^(?:SMILES:[A-Za-z0-9@\\.\\-\\+\\=\\(\\)\\[\\]\\{\\}\\#\\\\\\/:]+)(?:\\s*对应的)?\\s*(?:InChI|inchi)(?:是什么)?[?？]?$",SMILES转InChI查询,"SMILES:CN1C...对应的InChI;这个SMILES的InChI是什么",Molecule,-,SMILES,query_cross_property,"{""source_value"":""$1"",""source_type"":""SMILES"",""target_attr"":""InChI""}",10,TRUE
Q022,reaction_by_smiles,22,"^(?:查|查询)?\\s*(C[\\w\\(\\)\\[\\]\\=\\+\\-\\#\\.\\/\\\\]+)(?:反应)?(?:是什么|怎么进行)?[?？]?$",通过整体SMILES查询反应,"查一下C=O.CC(=O)O>>CC(=O)OC=O是什么反应;这个SMILES的反应是什么",Reaction,reaction_SMILES,reaction_SMILES,query_reaction_by_identifier,"{""identifier"":""$1"",""id_type"":""SMILES""}",5,TRUE
Q023,molecule_by_inchi_non_chiral,23,"^(?:查|查询)?\\s*(InChI_non_chiral=[A-Za-z0-9/\\-\\+]+)(?:的分子)?[?？]?$",通过无手性InChI查询分子,"InChI_non_chiral=1S/C8H10N4O2...是什么分子",Molecule,InChI_non_chiral,InChI_non_chiral,query_by_identifier,"{""identifier"":""$1"",""id_type"":""InChI_non_chiral""}",10,TRUE
